ABESID	IDP
ABES7WJCBGA4A	https://idp.inha.fr/idp/shibboleth
ABES3CR6PW4KU	https://authentification.inrae.fr/saml/metadata/idp
ABES8PTG6A1VH	https://prod-idp.inria.fr
ABES66F2PIEJ3	https://authentification.inrs.fr/adfs
ABESGC61SY9VU	https://idp-insa-cvl.renater.fr/idp/shibboleth
ABESK7IHUW4JS	https://shibboleth.insa-rouen.fr/idp/shibboleth
ABES5Z65DG71F	https://login.insa-lyon.fr/idp/shibboleth
ABES6FL2ZH9TE	https://idp.insa-rennes.fr/idp/shibboleth
ABESG9MEDR4Q7	https://sso.insa-strasbourg.fr/idp/shibboleth
ABESC1O8LK1L0	https://idp.inserm.fr/idp/shibboleth
ABESBPT7OWKNM	https://sts.windows.net/0e0300d7-80a2-419f-a335-646daa467663/
ABESHZODG2BP4	https://shibboleth.ict-toulouse.fr/idp/shibboleth
ABESEU95VUDPC	https://idp.curie.fr/idp/saml2/metadata
ABESA13I5Z6L9	https://idp.sciencespobordeaux.fr/idp/shibboleth
ABESCDR9I52CC	https://idp-sciencespo-grenoble.renater.fr/idp/shibboleth
ABES6WTH79G4L	https://federation.sciences-po.fr/idp/shibboleth
ABES4SV5FC841	https://idp-ihes.renater.fr/idp/shibboleth
ABES3HW2KAIBL	https://idpr4.imtbs-tsp.eu/idp/shibboleth
ABESGVW6HKIJT	https://srv-fii.insa-toulouse.fr/idp/shibboleth
ABESG20EV62ZK	https://idp.inp-toulouse.fr/idp/shibboleth
ABESHI5GV85J6	https://identities.univ-jfc.fr/idp/prod
ABES5O9FJTKGG	https://idp.pasteur.fr/idp/shibboleth
ABESH7UB99GNH	http://fs.unilasalle.fr/adfs/services/trust
ABES9JR4OYDVK	https://sso.ird.fr/idp/shibboleth
ABESCGRIG95TI	https://idp.isae.fr/idp/shibboleth
ABES1584HP4PA	https://idp.isara.fr/idp/shibboleth
ABESDZ59SXFU3	https://websso.esrf.fr/auth/realms/ESRF
ABESDVR3XHMN4	http://sts.kedgebs.com/adfs/services/trust
ABESFIA5QI70F	https://idp.univ-lemans.fr/idp/shibboleth
ABESI6P51MKK7	https://sts.windows.net/a1bce70e-1f36-4e8c-b4f3-48980a5f78ee/
ABESDXO7CRA5R	https://idp.mines-paristech.fr/idp/shibboleth
ABESFFP8NT99G	https://idp-feder.pleiade.education.fr/idp/shibboleth
