id_abes	IDP
ABES84H5X47X1	https://idp1.univ-fcomte.fr/idp/shibboleth
ABES4LY86X9XN	https://idp-univ-guyane.renater.fr/idp/shibboleth
ABES65B8TB3ZE	https://idp.uha.fr/idp/shibboleth
ABES5TAB0B2CQ	https://shib2.unc.nc/idp/shibboleth
ABES6HM5FY88M	https://federation.upf.pf/idp/shibboleth
ABES2JOFTGCID	https://id.univ-reunion.fr/idp/shibboleth
ABES5U8CVCA9J	https://apps.univ-lr.fr/idp/shibboleth
ABES2PW71U8OR	https://idp.univ-lille.fr/idp/shibboleth
ABES2QUI6X6T6	urn:mace:cru.fr:federation:unilim.fr
ABES2LC9J8H32	https://idp3.univ-lorraine.fr/idp/shibboleth
ABESHRT3HM5Q8	https://federation.umontpellier.fr/idp/shibboleth
ABESEKFVK6FZ6	urn:mace:cru.fr:federation:univ-nantes.fr
ABESIBPFQT2JN	https://federation.unimes.fr/idp/shibboleth
ABES7T27PECMK	https://idp.univ-pau.fr/idp/shibboleth
ABESADN2TN9X8	https://federation2.univ-perp.fr/idp/shibboleth
ABES8TY6DE9I6	https://idp.u-picardie.fr/idp/shibboleth
ABESG6EKNCBCY	urn:mace:cru.fr:federation:univ-poitiers.fr
ABES6YBI3TM4W	https://shib.univ-reims.fr/idp/shibboleth
ABESDCVFZQ8OV	urn:mace:cru.fr:federation:univ-rennes1.fr
ABESEZHIJDA9Z	urn:mace:cru.fr:federation:univ-rouen.fr
ABESI3IGUJKRP	https://idp.unistra.fr/idp/shibboleth
ABESIO16H7ELN	https://federation.utbm.fr/idp/shibboleth
ABESI2YG7L4NA	urn:mace:cru.fr:federation:utc.fr
ABES2DOIRE2DF	https://shibboleth3.utt.fr/idp/shibboleth
ABESCJCKDIKG4	https://idp.univ-tln.fr/idp/shibboleth
ABES1DT9EP6P7	https://idp.univ-tours.fr/idp/shibboleth
ABESCECD55NG4	https://shibboleth.csi.uvsq.fr/idp/shibboleth
ABES9XHCOF84F	https://idp.univ-antilles.fr/idp/shibboleth
ABES8D0VN4V46	https://idp.univ-orleans.fr/idp/shibboleth
ABESLXBGZIRA4	https://shib.univ-lehavre.fr/idp/shibboleth
ABESIBH84X9FT	urn:mace:cru.fr:federation:univ-littoral.fr
ABES9WN9X8EE9	https://shibboleth.univ-grenoble-alpes.fr/idp/shibboleth
ABESEUB7NA4SI	https://idp.univ-eiffel.fr/idp/shibboleth
ABESA1T7JY7RL	https://idp-ng.univ-st-etienne.fr/idp/shibboleth
ABESI3FB56F7K	https://idp.univ-lyon3.fr/idp/shibboleth
ABES9SZHAKCRD	https://idp.univ-lyon2.fr/idp/shibboleth
ABES70BF7ZEYH	https://idp.univ-paris3.fr/idp/shibboleth
ABESH5C8WV3OS	https://idp2.univ-paris8.fr/idp/shibboleth
ABES90Y7NHCR4	https://auth.u-paris.fr/idp/shibboleth
ABES5LK2FT7SY	https://idp.ent.dauphine.fr/idp/shibboleth
